District_ID,School_ID,School_Name
79883,6346,Apache Trail High School
79907,80385,Midtown High School
79929,80006,Precision Academy
79951,79952,Intelli-School
79951,1001760,SC Jensen Online
79953,5530,Intelli-School - Metro Center
79953,90208,Intelli-School Glendale
79953,1001762,PAS Charter Online
79957,79958,Desert Marigold School
79959,79960,"Pima Partnership School, The"
79967,87416,Leading Edge Academy Gilbert Early College
79967,91597,Leading Edge Academy Online
79979,79980,Tucson International Academy
79979,84297,Tucson International Academy Midvale
79979,90044,TIA East
79979,90045,TIA West
79981,79982,Arizona Conservatory for Arts and Academics
79981,90349,Arizona Conservatory for Arts and Academics Middle School
80001,89656,Desert View Online School
80032,80033,Toltecali High School
80989,80990,South Pointe High School
80992,80994,Great Hearts Academies - Veritas Prep
80995,80996,Alta Vista High School
81001,5463,Pinnacle High School - Tempe
81001,81180,Pinnacle Online High School
81009,79621,Pinnacle Charter High School
81011,10750,Pinnacle High School - Casa Grande
81027,81028,Berean Academy
81029,81030,Canyon Rose Academy
81029,605648,Canyon Rose Academy-East
81041,81042,Hope High School
81041,81182,Hope High School Online
81050,79219,"Edkey, Inc. - Sequoia Deaf School"
81050,920316,KELLY
81078,81079,BASIS Scottsdale
81099,78950,Desert Heights Charter School
81174,81175,Phoenix College Preparatory Academy
85448,85451,City High School
85540,85541,Academy of Building Industries
85749,85750,AMCS at Anthem dba Caurus Academy
85816,5503,AAEC - SMCC Campus
87334,87335,Pillar Academy of Business & Finance
87334,91213,Pillar Academy Online
87349,87350,East Valley High School
87405,79705,Arizona Virtual Academy
87405,91830,Arizona Insight Academy
87407,81179,Arizona Connections Academy
87600,90038,Biyaagozhoo Center
88299,88300,Great Hearts Academies - Chandler Prep
88334,88335,South Ridge High School
89412,5479,EDUPRIZE SCHOOL Gilbert
89412,1001718,EDUPRIZE ONLINE INSTRUCTION
89486,89487,Great Hearts Academies - Arete Prep
89756,89757,Great Hearts Academies - Scottsdale Prep
89788,89789,Imagine Prep Superstition
89790,89791,Imagine Prep Surprise
89798,89799,San Tan Charter School
89829,89830,Great Hearts Academies - Glendale Prep
89869,89870,AZ Compass Prep School
89871,89872,Sky Islands
89914,80974,Sonoran Science Academy - Phoenix
89917,89918,Paragon Science Academy
90034,90035,Imagine Prep Coolidge
90138,92636,Jefferson Preparatory High School
90201,90202,EdOptions Preparatory Academy
90201,90844,EdOptions HS Learning Center
90284,90285,Sonoran Science Academy - Davis Monthan
90287,91825,Odyssey Institute for Advanced and International Studies
90327,88289,Learning Foundation and Performing Arts Gilbert
90329,89941,Skyline D5
